Gender,Age,Continent,Height,Weight,OTU,Count
male,24,North America,187,67,OTU81,696
male,25,Europe,182,79,OTU81,1918
male,25,North America,185,82,OTU81,3728
male,25,North America,168,84,OTU81,707
male,26,Asia,180,73,OTU81,277
male,26,Asia,190,70,OTU81,1577
male,26,Europe,190,77,OTU81,1829
male,26,Europe,186,87,OTU81,4171
male,26,North America,179,76,OTU81,3226
male,26,North America,176,58,OTU81,701
male,27,Europe,188,85,OTU81,3524
male,27,Europe,158,81,OTU81,1243
male,27,Europe,186,56,OTU81,3281
male,27,Europe,157,90,OTU81,3625
male,27,North America,172,67,OTU81,195
male,27,North America,162,66,OTU81,729
male,28,Europe,175,80,OTU81,2243
male,28,Europe,162,85,OTU81,4777
male,28,Europe,183,72,OTU81,3074
male,28,Europe,183,71,OTU81,4824
male,28,North America,175,80,OTU81,4964
male,29,Europe,164,74,OTU81,2448
male,29,North America,190,86,OTU81,422
male,30,Europe,185,71,OTU81,1820
male,30,Europe,186,58,OTU81,1300
male,30,Europe,162,57,OTU81,2903
male,30,North America,156,78,OTU81,3478
male,31,Asia,182,88,OTU81,3507
male,31,Europe,182,89,OTU81,1878
male,31,Europe,180,83,OTU81,3320
male,31,Europe,170,69,OTU81,1352
male,31,Europe,178,84,OTU81,1049
male,31,North America,186,57,OTU81,1390
male,32,Asia,187,87,OTU81,4849
male,32,Europe,180,58,OTU81,2511
male,32,Europe,170,55,OTU81,37
male,32,North America,157,79,OTU81,718
male,32,North America,188,56,OTU81,4959
male,32,North America,174,86,OTU81,4512
male,33,Europe,172,90,OTU81,2577
male,33,Europe,166,81,OTU81,2151
male,33,Europe,172,87,OTU81,4588
male,33,Europe,184,67,OTU81,1997
male,33,North America,183,86,OTU81,4925
male,34,Europe,174,78,OTU81,2743
male,34,Europe,159,61,OTU81,4076
male,34,North America,169,68,OTU81,3325
male,34,North America,178,58,OTU81,4207
male,34,North America,188,62,OTU81,4375
female,18,Asia,186,72,OTU82,2621
female,18,Europe,160,77,OTU82,1885
female,18,Europe,156,88,OTU82,3812
female,18,Europe,189,61,OTU82,855
female,18,Europe,160,67,OTU82,3497
female,18,Europe,178,65,OTU82,4289
female,18,Europe,157,89,OTU82,1886
female,18,North America,181,82,OTU82,3509
female,19,Europe,164,62,OTU82,2491
female,19,North America,179,87,OTU82,3493
female,19,North America,188,69,OTU82,1925
female,20,Europe,184,65,OTU82,1350
female,21,Asia,162,90,OTU82,1098
female,21,Europe,166,78,OTU82,1711
female,21,Europe,179,70,OTU82,4067
female,21,Europe,157,80,OTU82,131
female,22,Europe,168,84,OTU82,3913
female,22,Europe,174,58,OTU82,2689
female,22,Europe,182,77,OTU82,534
female,22,North America,158,87,OTU82,3440
female,23,Europe,157,83,OTU82,26
female,23,Europe,190,64,OTU82,1804
female,24,Europe,187,82,OTU82,445
female,24,Europe,160,61,OTU82,3407
female,24,Europe,184,55,OTU82,3481
female,24,North America,164,89,OTU82,1863
female,24,North America,169,90,OTU82,2874
female,25,Europe,188,83,OTU82,1223
female,25,North America,179,67,OTU82,4559
female,25,North America,178,76,OTU82,3800
female,26,Europe,168,88,OTU82,3422
female,26,Europe,179,64,OTU82,936
female,26,Europe,155,73,OTU82,3824
female,26,Europe,160,68,OTU82,3218
female,27,Asia,170,64,OTU82,253
female,27,Europe,173,59,OTU82,3470
female,27,Europe,186,82,OTU82,1495
female,27,Europe,164,87,OTU82,4322
female,27,North America,186,57,OTU82,2241
female,28,Asia,166,77,OTU82,4031
female,28,Europe,175,85,OTU82,4050
female,28,Europe,163,63,OTU82,3103
female,29,Asia,164,73,OTU82,4449
female,29,Europe,159,75,OTU82,2887
female,29,Europe,184,85,OTU82,1729
female,29,North America,166,65,OTU82,2988
female,29,North America,170,67,OTU82,2868
female,29,North America,167,81,OTU82,969
female,29,North America,181,66,OTU82,3315
female,30,Europe,166,87,OTU82,2380
female,30,North America,161,78,OTU82,3871
female,30,North America,181,57,OTU82,1254
female,31,Europe,166,77,OTU82,4114
female,32,Europe,156,78,OTU82,1899
female,32,Europe,169,87,OTU82,4255
female,33,Europe,174,75,OTU82,1402
female,33,Europe,166,77,OTU82,1182
female,33,North America,174,89,OTU82,648
female,33,North America,158,90,OTU82,235
female,34,Europe,167,79,OTU82,1291
female,34,Europe,188,57,OTU82,3094
female,34,Europe,186,80,OTU82,106
female,34,Europe,177,75,OTU82,279
female,34,North America,164,66,OTU82,1184
female,34,North America,171,62,OTU82,2052
female,35,Asia,183,84,OTU82,2455
female,35,Europe,167,79,OTU82,2813
female,35,North America,182,90,OTU82,3820
female,35,North America,166,72,OTU82,129
female,35,North America,190,78,OTU82,3955
male,18,Europe,188,69,OTU82,438
male,18,Europe,175,73,OTU82,3775
male,18,North America,188,68,OTU82,1414
male,18,North America,184,75,OTU82,371
male,18,North America,166,74,OTU82,4780
male,19,Asia,159,80,OTU82,458
male,19,Europe,184,58,OTU82,1060
male,19,Europe,189,79,OTU82,2977
male,19,Europe,185,81,OTU82,3575
male,19,North America,186,77,OTU82,3383
male,20,Europe,170,89,OTU82,3234
male,20,Europe,178,90,OTU82,1434
male,20,North America,169,68,OTU82,2648
male,20,North America,180,75,OTU82,1028
male,20,North America,166,78,OTU82,3345
male,21,Europe,172,76,OTU82,49
male,22,Europe,183,86,OTU82,4625
male,22,Europe,158,70,OTU82,2732
male,22,North America,174,73,OTU82,3502
male,22,North America,186,81,OTU82,1247
male,23,Asia,186,72,OTU82,3540
male,23,Europe,160,65,OTU82,2289
male,24,North America,177,73,OTU82,4313
male,24,North America,187,67,OTU82,1173
male,25,Europe,182,79,OTU82,863
male,25,North America,185,82,OTU82,2739
male,25,North America,168,84,OTU82,3166
male,26,Asia,180,73,OTU82,785
male,26,Asia,190,70,OTU82,3708
male,26,Europe,190,77,OTU82,1541
male,26,Europe,186,87,OTU82,1525
male,26,North America,179,76,OTU82,1797
male,26,North America,176,58,OTU82,1739
male,27,Europe,188,85,OTU82,1269
male,27,Europe,158,81,OTU82,4811
male,27,Europe,186,56,OTU82,418
male,27,Europe,157,90,OTU82,4221
male,27,North America,172,67,OTU82,3748
male,27,North America,162,66,OTU82,4135
male,28,Europe,175,80,OTU82,4361
male,28,Europe,162,85,OTU82,736
male,28,Europe,183,72,OTU82,3952
male,28,Europe,183,71,OTU82,144
male,28,North America,175,80,OTU82,3333
male,29,Europe,164,74,OTU82,254
male,29,North America,190,86,OTU82,2831
male,30,Europe,185,71,OTU82,2004
male,30,Europe,186,58,OTU82,429
male,30,Europe,162,57,OTU82,3103
male,30,North America,156,78,OTU82,2831
male,31,Asia,182,88,OTU82,4885
male,31,Europe,182,89,OTU82,2797
male,31,Europe,180,83,OTU82,1853
male,31,Europe,170,69,OTU82,821
male,31,Europe,178,84,OTU82,4149
male,31,North America,186,57,OTU82,2145
male,32,Asia,187,87,OTU82,2324
male,32,Europe,180,58,OTU82,3087
male,32,Europe,170,55,OTU82,679
male,32,North America,157,79,OTU82,4117
male,32,North America,188,56,OTU82,309
male,32,North America,174,86,OTU82,2189
male,33,Europe,172,90,OTU82,261
male,33,Europe,166,81,OTU82,3636
male,33,Europe,172,87,OTU82,2624
male,33,Europe,184,67,OTU82,2064
male,33,North America,183,86,OTU82,4779
male,34,Europe,174,78,OTU82,2953
male,34,Europe,159,61,OTU82,3781
male,34,North America,169,68,OTU82,1527
male,34,North America,178,58,OTU82,905
male,34,North America,188,62,OTU82,369
female,18,Asia,186,72,OTU83,2218
female,18,Europe,160,77,OTU83,1643
female,18,Europe,156,88,OTU83,2307
female,18,Europe,189,61,OTU83,4407
female,18,Europe,160,67,OTU83,4630
female,18,Europe,178,65,OTU83,4391
female,18,Europe,157,89,OTU83,4139
female,18,North America,181,82,OTU83,2540
female,19,Europe,164,62,OTU83,2138
female,19,North America,179,87,OTU83,2244
female,19,North America,188,69,OTU83,4551
female,20,Europe,184,65,OTU83,135
female,21,Asia,162,90,OTU83,1081
female,21,Europe,166,78,OTU83,3736
female,21,Europe,179,70,OTU83,4236
female,21,Europe,157,80,OTU83,2242
female,22,Europe,168,84,OTU83,855
female,22,Europe,174,58,OTU83,4895
female,22,Europe,182,77,OTU83,1078
female,22,North America,158,87,OTU83,3120
female,23,Europe,157,83,OTU83,280
female,23,Europe,190,64,OTU83,2846
female,24,Europe,187,82,OTU83,2910
female,24,Europe,160,61,OTU83,4135
female,24,Europe,184,55,OTU83,4515
female,24,North America,164,89,OTU83,1391
female,24,North America,169,90,OTU83,3034
female,25,Europe,188,83,OTU83,3571
female,25,North America,179,67,OTU83,4569
female,25,North America,178,76,OTU83,2920
female,26,Europe,168,88,OTU83,2068
female,26,Europe,179,64,OTU83,1512
female,26,Europe,155,73,OTU83,2693
female,26,Europe,160,68,OTU83,4452
female,27,Asia,170,64,OTU83,112
female,27,Europe,173,59,OTU83,3379
female,27,Europe,186,82,OTU83,3341
female,27,Europe,164,87,OTU83,2762
female,27,North America,186,57,OTU83,1604
female,28,Asia,166,77,OTU83,20
female,28,Europe,175,85,OTU83,2013
female,28,Europe,163,63,OTU83,2870
female,29,Asia,164,73,OTU83,3227
female,29,Europe,159,75,OTU83,3552
female,29,Europe,184,85,OTU83,4073
female,29,North America,166,65,OTU83,3071
female,29,North America,170,67,OTU83,3280
female,29,North America,167,81,OTU83,3519
female,29,North America,181,66,OTU83,4686
female,30,Europe,166,87,OTU83,1299
female,30,North America,161,78,OTU83,3438
female,30,North America,181,57,OTU83,3745
female,31,Europe,166,77,OTU83,1194
female,32,Europe,156,78,OTU83,1208
female,32,Europe,169,87,OTU83,4904
female,33,Europe,174,75,OTU83,3480
female,33,Europe,166,77,OTU83,3140
female,33,North America,174,89,OTU83,653
female,33,North America,158,90,OTU83,839
female,34,Europe,167,79,OTU83,3436
female,34,Europe,188,57,OTU83,4436
female,34,Europe,186,80,OTU83,3517
female,34,Europe,177,75,OTU83,1214
female,34,North America,164,66,OTU83,3971
female,34,North America,171,62,OTU83,3013
female,35,Asia,183,84,OTU83,4563
female,35,Europe,167,79,OTU83,2157
female,35,North America,182,90,OTU83,234
female,35,North America,166,72,OTU83,1079
female,35,North America,190,78,OTU83,2771
male,18,Europe,188,69,OTU83,2906
male,18,Europe,175,73,OTU83,2068
male,18,North America,188,68,OTU83,4158
male,18,North America,184,75,OTU83,4100
male,18,North America,166,74,OTU83,3611
male,19,Asia,159,80,OTU83,4393
male,19,Europe,184,58,OTU83,2412
male,19,Europe,189,79,OTU83,4746
male,19,Europe,185,81,OTU83,3916
male,19,North America,186,77,OTU83,1354
male,20,Europe,170,89,OTU83,2247
male,20,Europe,178,90,OTU83,2053
male,20,North America,169,68,OTU83,2090
male,20,North America,180,75,OTU83,3272
male,20,North America,166,78,OTU83,1364
male,21,Europe,172,76,OTU83,705
male,22,Europe,183,86,OTU83,530
male,22,Europe,158,70,OTU83,276
male,22,North America,174,73,OTU83,2900
male,22,North America,186,81,OTU83,3055
male,23,Asia,186,72,OTU83,2624
male,23,Europe,160,65,OTU83,113
male,24,North America,177,73,OTU83,1750
male,24,North America,187,67,OTU83,474
male,25,Europe,182,79,OTU83,2493
male,25,North America,185,82,OTU83,476
male,25,North America,168,84,OTU83,1329
male,26,Asia,180,73,OTU83,3689
male,26,Asia,190,70,OTU83,2356
male,26,Europe,190,77,OTU83,2281
male,26,Europe,186,87,OTU83,1408
male,26,North America,179,76,OTU83,3653
male,26,North America,176,58,OTU83,827
male,27,Europe,188,85,OTU83,333
male,27,Europe,158,81,OTU83,3969
male,27,Europe,186,56,OTU83,3666
male,27,Europe,157,90,OTU83,1476
male,27,North America,172,67,OTU83,2227
male,27,North America,162,66,OTU83,4629
male,28,Europe,175,80,OTU83,4126
male,28,Europe,162,85,OTU83,2867
male,28,Europe,183,72,OTU83,1750
male,28,Europe,183,71,OTU83,694
male,28,North America,175,80,OTU83,1717
male,29,Europe,164,74,OTU83,213
male,29,North America,190,86,OTU83,4866
male,30,Europe,185,71,OTU83,546
male,30,Europe,186,58,OTU83,4869
male,30,Europe,162,57,OTU83,440
male,30,North America,156,78,OTU83,1678
male,31,Asia,182,88,OTU83,3334
male,31,Europe,182,89,OTU83,2581
male,31,Europe,180,83,OTU83,1145
male,31,Europe,170,69,OTU83,2793
male,31,Europe,178,84,OTU83,3913
male,31,North America,186,57,OTU83,3940
male,32,Asia,187,87,OTU83,118
male,32,Europe,180,58,OTU83,1545
male,32,Europe,170,55,OTU83,2233
male,32,North America,157,79,OTU83,4684
male,32,North America,188,56,OTU83,1220
male,32,North America,174,86,OTU83,2991
male,33,Europe,172,90,OTU83,181
male,33,Europe,166,81,OTU83,4877
male,33,Europe,172,87,OTU83,341
male,33,Europe,184,67,OTU83,3656
male,33,North America,183,86,OTU83,1799
male,34,Europe,174,78,OTU83,511
male,34,Europe,159,61,OTU83,1594
male,34,North America,169,68,OTU83,1653
male,34,North America,178,58,OTU83,2619
male,34,North America,188,62,OTU83,2285
female,18,Asia,186,72,OTU84,4020
female,18,Europe,160,77,OTU84,4453
female,18,Europe,156,88,OTU84,1593
female,18,Europe,189,61,OTU84,3462
female,18,Europe,160,67,OTU84,1124
female,18,Europe,178,65,OTU84,419
female,18,Europe,157,89,OTU84,2591
female,18,North America,181,82,OTU84,530
female,19,Europe,164,62,OTU84,2499
female,19,North America,179,87,OTU84,2227
female,19,North America,188,69,OTU84,3481
female,20,Europe,184,65,OTU84,3678
female,21,Asia,162,90,OTU84,3959
female,21,Europe,166,78,OTU84,1575
female,21,Europe,179,70,OTU84,183
female,21,Europe,157,80,OTU84,1443
female,22,Europe,168,84,OTU84,1621
female,22,Europe,174,58,OTU84,3598
female,22,Europe,182,77,OTU84,997
female,22,North America,158,87,OTU84,1015
female,23,Europe,157,83,OTU84,2758
female,23,Europe,190,64,OTU84,3301
female,24,Europe,187,82,OTU84,3271
female,24,Europe,160,61,OTU84,100
female,24,Europe,184,55,OTU84,4587
female,24,North America,164,89,OTU84,93
female,24,North America,169,90,OTU84,232
female,25,Europe,188,83,OTU84,2533
female,25,North America,179,67,OTU84,2955
female,25,North America,178,76,OTU84,3735
female,26,Europe,168,88,OTU84,885
female,26,Europe,179,64,OTU84,1987
female,26,Europe,155,73,OTU84,1622
female,26,Europe,160,68,OTU84,43
female,27,Asia,170,64,OTU84,1517
female,27,Europe,173,59,OTU84,496
female,27,Europe,186,82,OTU84,399
female,27,Europe,164,87,OTU84,187
female,27,North America,186,57,OTU84,4153
female,28,Asia,166,77,OTU84,2686
female,28,Europe,175,85,OTU84,1887
female,28,Europe,163,63,OTU84,4885
female,29,Asia,164,73,OTU84,1841
female,29,Europe,159,75,OTU84,2891
female,29,Europe,184,85,OTU84,3018
female,29,North America,166,65,OTU84,3151
female,29,North America,170,67,OTU84,3526
female,29,North America,167,81,OTU84,2440
female,29,North America,181,66,OTU84,2233
female,30,Europe,166,87,OTU84,2348
female,30,North America,161,78,OTU84,3561
female,30,North America,181,57,OTU84,546
female,31,Europe,166,77,OTU84,2450
female,32,Europe,156,78,OTU84,3514
female,32,Europe,169,87,OTU84,3244
female,33,Europe,174,75,OTU84,2168
female,33,Europe,166,77,OTU84,12
female,33,North America,174,89,OTU84,2616
female,33,North America,158,90,OTU84,4961
female,34,Europe,167,79,OTU84,1099
female,34,Europe,188,57,OTU84,3048
female,34,Europe,186,80,OTU84,34
female,34,Europe,177,75,OTU84,2396
female,34,North America,164,66,OTU84,3586
female,34,North America,171,62,OTU84,4374
female,35,Asia,183,84,OTU84,4746
female,35,Europe,167,79,OTU84,1726
female,35,North America,182,90,OTU84,3501
female,35,North America,166,72,OTU84,1932
female,35,North America,190,78,OTU84,4618
male,18,Europe,188,69,OTU84,2863
male,18,Europe,175,73,OTU84,504
male,18,North America,188,68,OTU84,3012
male,18,North America,184,75,OTU84,1596
male,18,North America,166,74,OTU84,2153
male,19,Asia,159,80,OTU84,289
male,19,Europe,184,58,OTU84,1779
male,19,Europe,189,79,OTU84,1153
male,19,Europe,185,81,OTU84,1385
male,19,North America,186,77,OTU84,2577
male,20,Europe,170,89,OTU84,1578
male,20,Europe,178,90,OTU84,4043
male,20,North America,169,68,OTU84,592
male,20,North America,180,75,OTU84,1536
male,20,North America,166,78,OTU84,2050
male,21,Europe,172,76,OTU84,4458
male,22,Europe,183,86,OTU84,1384
male,22,Europe,158,70,OTU84,661
male,22,North America,174,73,OTU84,3395
male,22,North America,186,81,OTU84,106
male,23,Asia,186,72,OTU84,3215
male,23,Europe,160,65,OTU84,557
male,24,North America,177,73,OTU84,2670
male,24,North America,187,67,OTU84,3516
male,25,Europe,182,79,OTU84,1017
male,25,North America,185,82,OTU84,2470
male,25,North America,168,84,OTU84,1496
male,26,Asia,180,73,OTU84,2621
male,26,Asia,190,70,OTU84,1299
male,26,Europe,190,77,OTU84,3511
male,26,Europe,186,87,OTU84,1412
male,26,North America,179,76,OTU84,4875
male,26,North America,176,58,OTU84,2232
male,27,Europe,188,85,OTU84,3952
male,27,Europe,158,81,OTU84,3958
male,27,Europe,186,56,OTU84,2354
male,27,Europe,157,90,OTU84,4994
male,27,North America,172,67,OTU84,3866
male,27,North America,162,66,OTU84,4426
male,28,Europe,175,80,OTU84,454
male,28,Europe,162,85,OTU84,732
male,28,Europe,183,72,OTU84,1152
male,28,Europe,183,71,OTU84,3259
male,28,North America,175,80,OTU84,4425
male,29,Europe,164,74,OTU84,2755
male,29,North America,190,86,OTU84,3719
male,30,Europe,185,71,OTU84,1418
male,30,Europe,186,58,OTU84,641
male,30,Europe,162,57,OTU84,4089
male,30,North America,156,78,OTU84,4045
male,31,Asia,182,88,OTU84,4016
male,31,Europe,182,89,OTU84,3541
male,31,Europe,180,83,OTU84,180
male,31,Europe,170,69,OTU84,3605
male,31,Europe,178,84,OTU84,4935
male,31,North America,186,57,OTU84,4272
male,32,Asia,187,87,OTU84,101
male,32,Europe,180,58,OTU84,1285
male,32,Europe,170,55,OTU84,3765
male,32,North America,157,79,OTU84,2013
male,32,North America,188,56,OTU84,3423
male,32,North America,174,86,OTU84,2448
male,33,Europe,172,90,OTU84,4436
male,33,Europe,166,81,OTU84,1518
male,33,Europe,172,87,OTU84,271
male,33,Europe,184,67,OTU84,1187
male,33,North America,183,86,OTU84,4112
male,34,Europe,174,78,OTU84,4500
male,34,Europe,159,61,OTU84,4884
male,34,North America,169,68,OTU84,1446
male,34,North America,178,58,OTU84,805
male,34,North America,188,62,OTU84,1404
female,18,Asia,186,72,OTU85,3224
female,18,Europe,160,77,OTU85,4231
female,18,Europe,156,88,OTU85,248
female,18,Europe,189,61,OTU85,255
female,18,Europe,160,67,OTU85,3942
female,18,Europe,178,65,OTU85,2039
female,18,Europe,157,89,OTU85,3272
