Timestamp,Background,Gender,Position,Region,Overall_scientific,Intro_bioinfo,Intro_lab,RobertVaser_workshop,StephanOssowski_lecture,AndrejPrjibelski_workshop,PavelLabaj_lecture,MonikaGos_lecture,FritzSedlazeck_workshop,AndreKahles_workshop,JozefNosek_lecture,KamilJanuszkiweicz_lecture,LeszekPryszcz_lecture,AlbaSanchisJuan_workshop,NikolaiKulemin_workshop,RosaFernandez_lecture,FranSupek_lecture,attended_hackathon,main_hackathon,impression_main_hackathon,juggling_freetime,BBQ_freetime,ShotTalks_freetime,Sightseeing_freetime,first_Szklarnia_freetime,KiraQuest_freetime,killerGame_freetime,final_Szklarnia_freetime,Overall_freetime,accomodation_venue,coffeeBreaks_venue,meals_venue,organisation_overall,recommendation,useful,dewey,recommend
10/2/2018 6:36:42,More dry lab,Female,MSc,Outside of Europe,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Skipped the session,Excellent,Excellent,Good,Good,Excellent,Excellent,Fungi,Fungi,Super useful,Good,Excellent,Excellent,Excellent,Excellent,Skipped the session,Skipped the session,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Yes,Amazingly useful,Don't understand the question,Yes
10/2/2018 12:17:59,More wet lab,Female,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Excellent,Average,Skipped the session,Good,Fungi,Fungi,Super useful,Excellent,Excellent,Excellent,Normal,Good,Excellent,Skipped the session,Skipped the session,Excellent,It was OK,It was OK,It was OK,Good,Strongly yes,Amazingly useful,Don't understand the question,Strongly yes
10/2/2018 12:18:43,More wet lab,Male,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Excellent,Skipped the session,Average,Excellent,Good,Excellent,Good,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Below average,Excellent,Excellent,Fungi,Fungi,Super useful,Excellent,Excellent,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,"Yes, it was really useful",I know de wey!,Strongly yes
10/2/2018 13:57:21,More wet lab,Male,PhD,Outside of Europe,Good,Excellent,Skipped the session,Below average,Excellent,Good,Good,Excellent,Excellent,Excellent,Good,Average,Excellent,Excellent,Average,Good,Excellent,Metagenomics,Metagenomics,Useful,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Normal,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,I know de wey!,Strongly yes
10/2/2018 22:01:20,More wet lab,Male,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Skipped the session,Skipped the session,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Skipped the session,Excellent,Excellent,Excellent,Skipped the session,Skipped the session,Skipped the session,Skipped the session,Mitochondrial DNA,Mitochondrial DNA,Useful,Skipped the session,Excellent,Excellent,Skipped the session,Excellent,Skipped the session,Skipped the session,Skipped the session,Excellent,It was OK,It was OK,It was terrible,Good,Yes,"Yes, it was really useful",Don't understand the question,Yes
10/3/2018 15:08:35,More dry lab,Female,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Skipped the session,Good,Good,Excellent,Excellent,Good,Average,Good,Excellent,Good,Good,Excellent,Good,Average,Excellent,Good,Fungi,Fungi,Super useful,Good,Good,Excellent,Normal,Normal,Skipped the session,Good,Good,Good,It was OK,It was OK,It was OK,Good,Strongly yes,Amazingly useful,I know de wey!,Strongly yes
10/4/2018 13:57:49,More wet lab,Male,PostDoc,Outside of Europe,Good,Skipped the session,Below average,Below average,Excellent,Good,Average,Average,Excellent,Excellent,Average,Average,Good,Excellent,Extremely bad,Good,Excellent,Human SVs,Human SVs,May be useful,Excellent,Good,Good,Excellent,Good,Excellent,Normal,Good,Excellent,It was OK,It was OK,It was OK,Good,Yes,Quite useful,I know de wey!,Yes
10/4/2018 13:57:53,More dry lab,Male,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Below average,Skipped the session,Good,Good,Good,Good,Below average,Good,Excellent,Skipped the session,Good,Good,Below average,Extremely bad,Excellent,Skipped the session,"Mitochondrial DNA, Human SVs",Human SVs,Useful,Good,Excellent,Excellent,Excellent,Below my expectations,Skipped the session,Below my expectations,Skipped the session,Good,It was terrible,It was OK,It was OK,Good,Yes,"Yes, it was really useful",Don't understand the question,Yes
10/4/2018 14:44:56,More dry lab,Male,Industry specialist,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Skipped the session,Skipped the session,Good,Good,Skipped the session,Good,Skipped the session,Good,Average,Good,Excellent,Excellent,Average,Good,Skipped the session,Skipped the session,"","","",Skipped the session,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Skipped the session,Good,It was OK,It was OK,It was OK,Good,Strongly yes,"Yes, it was really useful",I know de wey!,Strongly yes
10/4/2018 14:58:56,More wet lab,Female,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Excellent,Skipped the session,Average,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Skipped the session,Good,Excellent,Mitochondrial DNA,Mitochondrial DNA,Useful,Skipped the session,Excellent,Excellent,Normal,Excellent,Excellent,Below my expectations,Excellent,Excellent,It was OK,It was OK,It was OK,Good,Strongly yes,Amazingly useful,Don't understand the question,Strongly yes
10/4/2018 16:30:26,More dry lab,Male,MSc,Outside of Europe,Good,Excellent,Average,Excellent,Good,Good,Good,Good,Good,Excellent,Excellent,Average,Excellent,Good,Average,Good,Skipped the session,Fungi,Fungi,Super useful,Excellent,Excellent,Excellent,Excellent,Excellent,Skipped the session,Excellent,Excellent,Excellent,It was OK,It was OK,It was OK,Good,Strongly yes,Amazingly useful,Don't understand the question,Strongly yes
10/4/2018 23:09:42,More dry lab,Female,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Skipped the session,Good,Good,Skipped the session,Excellent,Skipped the session,Good,Good,Good,Average,Average,Excellent,Good,Average,Excellent,Excellent,Mitochondrial DNA,Mitochondrial DNA,May be useful,Excellent,Good,Good,Good,Good,Excellent,Skipped the session,Good,Good,It was OK,It was OK,It was OK,Normal,Yes,Quite useful,I know de wey!,Yes
10/4/2018 23:57:11,More dry lab,Female,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Excellent,Skipped the session,Excellent,Excellent,Excellent,Average,Good,Excellent,Skipped the session,Good,Average,Excellent,Good,Average,Good,Excellent,"Mitochondrial DNA, Human SVs",Human SVs,May be useful,Excellent,Excellent,Excellent,Normal,Excellent,Excellent,Excellent,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,I know de wey!,Strongly yes
10/5/2018 17:43:52,More dry lab,Female,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Good,Skipped the session,Good,Below average,Average,Average,Average,Excellent,Good,Good,Good,Excellent,Good,Average,Excellent,Good,"Mitochondrial DNA, Human SVs",Human SVs,Super useful,Excellent,Excellent,Excellent,Good,Normal,Excellent,Good,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,"",Strongly yes
10/6/2018 0:32:32,More wet lab,Male,MSc,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Good,Skipped the session,Good,Good,Excellent,Good,Good,Excellent,Excellent,Good,Good,Excellent,Excellent,Average,Good,Excellent,"Mitochondrial DNA, Human SVs",Human SVs,Useful,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,Amazingly useful,Don't understand the question,Strongly yes
10/9/2018 10:31:23,More dry lab,Female,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Good,Good,Skipped the session,Good,Excellent,Excellent,Good,Good,Average,Good,Excellent,Excellent,Excellent,Excellent,Average,Good,Excellent,Fungi,Fungi,Useful,Skipped the session,Good,Normal,Excellent,Good,Skipped the session,Below my expectations,Good,"",It was OK,It was OK,It was OK,Good,Yes,Quite useful,Don't understand the question,Yes
10/13/2018 17:23:49,More wet lab,Male,PhD,"Central and Eastern Europe (Poland, Balkan countries, Ukraine, Russia, etc)",Excellent,Good,Skipped the session,Below average,Excellent,Good,Good,Average,Good,Excellent,Average,Average,Excellent,Excellent,Extremely bad,Excellent,Excellent,Metagenomics,Metagenomics,Useful,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Normal,Excellent,Excellent,It was OK,It was OK,It was OK,Excellent,Strongly yes,"Yes, it was really useful",I know de wey!,Strongly yes
10/15/2018 16:48:35,More dry lab,Male,MSc,Western Europe (Germany and more to the West),Good,Good,Good,Excellent,Good,Excellent,Average,Below average,Excellent,Excellent,Below average,Extremely bad,Excellent,Good,Below average,Good,Excellent,Human SVs,Human SVs,Useful,Excellent,Good,Good,Good,Normal,Excellent,Normal,Good,Good,It was terrible,It was OK,It was OK,Good,Yes,"Yes, it was really useful",I know de wey!,Yes
